,id,lat,lon,total_litter
0,252494,52.652697222222,5.0849583333333,1.0
1,221739,52.652711111111,5.0850027777778,1.0
2,254954,52.651772222222,5.0851583333333,1.0
3,222923,52.651775,5.0848916666667,1.0
4,222924,52.651713888889,5.0852194444444,1.0
5,221740,52.651394444444,5.0881527777778,1.0
6,228037,52.651255555556,5.0853194444444,1.0
7,226491,52.651202777778,5.0856305555556,1.0
8,221741,52.651086111111,5.0879611111111,1.0
9,225119,52.650916666667,5.0857805555556,1.0
10,227465,52.650925,5.0856583333333,1.0
11,258531,52.651158333333,5.0857805555556,1.0
12,225120,52.650913888889,5.0865222222222,1.0
13,221513,52.650894444444,5.0864805555556,1.0
14,227869,52.650855555556,5.088575,1.0
15,221512,52.650475,5.0867777777778,1.0
16,221742,52.650438888889,5.0865805555556,1.0
17,227339,52.651530555556,5.0873138888889,1.0
18,258534,52.651297222222,5.0875027777778,1.0
19,222937,52.651333333333,5.087525,1.0
20,252497,52.651602777778,5.0866166666667,1.0
21,259748,52.651725,5.0867027777778,1.0
