date,weather
2021/9/22,Sunny
2021/9/23,Cloudy
2021/9/24,Sunny
2021/9/25,Cloudy
2021/9/26,Sunny
2021/9/27,Sunny
2021/9/28,Sunny
2021/9/29,Showers
2021/9/30,Cloudy
2021/10/1,Showers
2021/10/2,Showers
2021/10/3,Showers
2021/10/4,Sunny
2021/10/5,Sunny
2021/10/6,Showers
2021/10/7,Cloudy
2021/10/8,Foggy
2021/10/9,Sunny
2021/10/10,Foggy
2021/10/11,Sunny
2021/10/12,Showers
2021/10/13,Sunny
2021/10/14,Cloudy
2021/10/15,Sunny
2021/10/16,Cloudy
2021/10/17,Sunny
2021/10/18,Sunny
2021/10/19,Showers
2021/10/20,Cloudy
2021/10/21,Showers
2021/10/22,Showers
2021/10/23,Cloudy
2021/10/24,Sunny
2021/10/25,Cloudy
2021/10/26,Sunny
2021/10/27,Cloudy
2021/10/28,Sunny
2021/10/29,Sunny
2021/10/30,Showers
2021/10/31,Showers
2021/11/1,Sunny
2021/11/2,Showers
2021/11/3,Foggy
2021/11/4,Foggy
2021/11/5,Showers
2021/11/6,Cloudy
2021/11/7,Showers
2021/11/8,Cloudy
2021/11/9,Cloudy
2021/11/10,Cloudy
2021/11/11,Foggy
2021/11/12,Foggy
2021/11/13,Showers
2021/11/14,Cloudy
2021/11/15,Cloudy
2021/11/16,Cloudy
2021/11/17,Foggy
2021/11/18,Cloudy
2021/11/19,Sunny
2021/11/20,Cloudy
2021/11/21,Showers
2021/11/22,Sunny
2021/11/23,Showers
2021/11/24,Cloudy
2021/11/25,Showers
2021/11/26,Showers
2021/11/27,Showers
2021/11/28,Showers
2021/11/29,Showers
2021/11/30,Showers
2021/12/1,Showers
2021/12/2,Showers
2021/12/3,Showers
2021/12/4,Foggy
2021/12/5,Showers
2021/12/6,Foggy
2021/12/7,Showers
2021/12/8,Showers
2021/12/9,Sunny
2021/12/10,Showers
2021/12/11,Sunny
2021/12/12,Showers
2021/12/13,Cloudy
2021/12/14,Showers
2021/12/15,Cloudy
2021/12/16,Foggy
2021/12/17,Showers
2021/12/18,Foggy
2021/12/19,Showers
2021/12/20,Cloudy
2021/12/21,Sunny
2021/12/22,Sunny
2021/12/23,Showers
2021/12/24,Showers
2021/12/25,Sunny
2021/12/26,Cloudy
