,id_s,id_d,distance
0,225654.0,225654.0,0.0
1,225654.0,254131.0,0.13987636062557238
2,225654.0,257825.0,0.14046884144474783
3,225654.0,227109.0,0.1331789732147484
4,225654.0,259109.0,0.12469228374577689
5,225654.0,259110.0,0.12469228374577689
6,225654.0,177894.0,0.12596211052005737
7,225654.0,177895.0,0.14694095697729045
8,225654.0,259111.0,0.13394502626675747
9,225654.0,178568.0,0.12963063786210455
10,225654.0,177049.0,0.12434069405130889
11,225654.0,259500.0,0.32620516483308987
12,225654.0,176464.0,0.3279361862333443
13,225654.0,139789.0,0.3328485272200798
14,225654.0,172952.0,0.3328485272200798
15,225654.0,179066.0,0.3265601751414544
16,225654.0,254278.0,0.3682681669910655
17,225654.0,177896.0,0.383855452198203
18,225654.0,259147.0,0.42714728287283193
19,225654.0,176481.0,0.42470415916049314
20,225654.0,178602.0,0.4173725129829182
21,225654.0,131098.0,0.3620464061125855
22,225654.0,177058.0,0.395571856125453
23,225654.0,131099.0,0.395571856125453
24,225654.0,131100.0,0.3955157639056109
25,225654.0,131101.0,0.3955157639056109
26,225654.0,264996.0,0.3869522550948236
27,225654.0,177897.0,0.3488831788365158
28,225654.0,179067.0,0.36719903068383775
29,225654.0,177898.0,0.41653981930416767
30,254131.0,225654.0,0.13987636062557238
31,254131.0,254131.0,0.0
32,254131.0,257825.0,0.0
33,254131.0,227109.0,0.0
34,254131.0,259109.0,0.0
35,254131.0,259110.0,0.0
36,254131.0,177894.0,0.0
37,254131.0,177895.0,0.0
38,254131.0,259111.0,0.0
39,254131.0,178568.0,0.0
40,254131.0,177049.0,0.0
41,254131.0,259500.0,0.19074600654110405
42,254131.0,176464.0,0.19496591807739558
43,254131.0,139789.0,0.1996538048920295
44,254131.0,172952.0,0.1996538048920295
45,254131.0,179066.0,0.19525266246955497
46,254131.0,254278.0,0.23013313315930867
47,254131.0,177896.0,0.24597860220885445
48,254131.0,259147.0,0.28977943050914967
49,254131.0,176481.0,0.28633391834840904
50,254131.0,178602.0,0.2789304000550938
51,254131.0,131098.0,0.2238035774520083
52,254131.0,177058.0,0.2566283011040659
53,254131.0,131099.0,0.2566283011040659
54,254131.0,131100.0,0.25662985932389193
55,254131.0,131101.0,0.25662985932389193
56,254131.0,264996.0,0.24938513385930486
57,254131.0,177897.0,0.2092851011261255
58,254131.0,179067.0,0.22759983244250864
59,254131.0,177898.0,0.2766718001943784
60,257825.0,225654.0,0.14046884144474783
61,257825.0,254131.0,0.0
62,257825.0,257825.0,0.0
63,257825.0,227109.0,0.0
64,257825.0,259109.0,0.0
65,257825.0,259110.0,0.0
66,257825.0,177894.0,0.0
67,257825.0,177895.0,0.0
68,257825.0,259111.0,0.0
69,257825.0,178568.0,0.0
70,257825.0,177049.0,0.0
71,257825.0,259500.0,0.18612564057567957
72,257825.0,176464.0,0.18883078891664618
73,257825.0,139789.0,0.19365850118408057
74,257825.0,172952.0,0.19365850118408057
75,257825.0,179066.0,0.1882667829192443
76,257825.0,254278.0,0.2278119753535409
77,257825.0,177896.0,0.24338661098601366
78,257825.0,259147.0,0.2867231642662114
79,257825.0,176481.0,0.2842580771255868
80,257825.0,178602.0,0.27693854365601206
81,257825.0,131098.0,0.22888740267901128
82,257825.0,177058.0,0.26068410089070204
83,257825.0,131099.0,0.26068410089070204
84,257825.0,131100.0,0.26076581796213555
85,257825.0,131101.0,0.26076581796213555
86,257825.0,264996.0,0.2549741975548357
87,257825.0,177897.0,0.21234566606209918
88,257825.0,179067.0,0.23056655808189622
89,257825.0,177898.0,0.2777522804726983
90,227109.0,225654.0,0.1331789732147484
91,227109.0,254131.0,0.0
92,227109.0,257825.0,0.0
93,227109.0,227109.0,0.0
94,227109.0,259109.0,0.0
95,227109.0,259110.0,0.0
96,227109.0,177894.0,0.0
97,227109.0,177895.0,0.0
98,227109.0,259111.0,0.0
99,227109.0,178568.0,0.0
100,227109.0,177049.0,0.0
101,227109.0,259500.0,0.1935377057966323
102,227109.0,176464.0,0.19628034748064685
103,227109.0,139789.0,0.2011069929332626
104,227109.0,172952.0,0.2011069929332626
105,227109.0,179066.0,0.19571434804619647
106,227109.0,254278.0,0.23508924571036946
107,227109.0,177896.0,0.2506895140816046
108,227109.0,259147.0,0.29406696059909915
109,227109.0,176481.0,0.29152635142028077
110,227109.0,178602.0,0.28419818160937516
111,227109.0,131098.0,0.23501933452473056
112,227109.0,177058.0,0.26705335767701144
113,227109.0,131099.0,0.26705335767701144
114,227109.0,131100.0,0.2671186110665673
115,227109.0,131101.0,0.2671186110665673
116,227109.0,264996.0,0.2610025414411507
117,227109.0,177897.0,0.21888572670300782
118,227109.0,179067.0,0.23713402147122487
119,227109.0,177898.0,0.28465044491631647
120,259109.0,225654.0,0.12469228374577689
121,259109.0,254131.0,0.0
122,259109.0,257825.0,0.0
123,259109.0,227109.0,0.0
124,259109.0,259109.0,0.0
125,259109.0,259110.0,0.0
126,259109.0,177894.0,0.0
127,259109.0,177895.0,0.0
128,259109.0,259111.0,0.0
129,259109.0,178568.0,0.0
130,259109.0,177049.0,0.0
131,259109.0,259500.0,0.20232300740611245
132,259109.0,176464.0,0.2051774855318978
133,259109.0,139789.0,0.20999726092699392
134,259109.0,172952.0,0.20999726092699392
135,259109.0,179066.0,0.20464961727032127
136,259109.0,254278.0,0.24362548958073443
137,259109.0,177896.0,0.2592670363088226
138,259109.0,259147.0,0.30271320793855416
139,259109.0,176481.0,0.30004296835955746
140,259109.0,178602.0,0.2927011680871718
141,259109.0,131098.0,0.2419623968675238
142,259109.0,177058.0,0.2742952455462329
