,daily,weekly,holiday,0,1,2,3,4,5,6,7,8,total_litter
2021-01-06,1.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,3.0
2021-01-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.005263157894736842,0.0,2.0
2021-01-08,1.0,0.0,0.0,0.010526315789473684,0.06842105263157895,0.031578947368421054,0.015789473684210527,0.17894736842105263,0.04736842105263158,0.0,0.13157894736842105,0.16842105263157894,114.0
2021-01-09,1.0,1.0,1.0,0.015789473684210527,0.05789473684210526,0.005263157894736842,0.0,0.06315789473684211,0.015789473684210527,0.0,0.05789473684210526,0.11052631578947368,58.0
2021-01-10,1.0,0.0,0.0,0.010526315789473684,0.010526315789473684,0.0,0.042105263157894736,0.10526315789473684,0.0,0.0,0.09473684210526316,0.04736842105263158,49.0
2021-01-11,1.0,0.0,0.0,0.04736842105263158,0.11578947368421053,0.010526315789473684,0.015789473684210527,0.2631578947368421,0.04736842105263158,0.021052631578947368,0.22105263157894736,0.29473684210526313,181.0
2021-01-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015789473684210527,3.0
2021-01-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,1.0
2021-01-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,2.0
2021-01-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,1.0
2021-02-03,1.0,0.0,0.0,0.005263157894736842,0.042105263157894736,0.0,0.04736842105263158,0.09473684210526316,0.005263157894736842,0.0,0.03684210526315789,0.04736842105263158,51.0
2021-02-05,1.0,0.0,0.0,0.042105263157894736,0.17894736842105263,0.031578947368421054,0.06315789473684211,0.3736842105263158,0.03684210526315789,0.03684210526315789,0.21578947368421053,0.5052631578947369,260.0
2021-02-11,1.0,0.0,0.0,0.005263157894736842,0.021052631578947368,0.010526315789473684,0.0,0.06842105263157895,0.0,0.0,0.031578947368421054,0.031578947368421054,28.0
2021-02-16,1.0,0.0,0.0,0.08947368421052632,0.14736842105263157,0.03684210526315789,0.1368421052631579,0.3526315789473684,0.03684210526315789,0.10526315789473684,0.35789473684210527,0.5526315789473684,319.0
2021-02-17,1.0,0.0,0.0,0.042105263157894736,0.07894736842105263,0.02631578947368421,0.015789473684210527,0.25263157894736843,0.07368421052631578,0.0,0.18947368421052632,0.37894736842105264,184.0
2021-02-18,1.0,0.0,0.0,0.03684210526315789,0.06315789473684211,0.021052631578947368,0.031578947368421054,0.16842105263157894,0.06315789473684211,0.0,0.09999999999999999,0.19999999999999998,119.0
2021-02-19,1.0,0.0,0.0,0.05263157894736842,0.16842105263157894,0.005263157894736842,0.02631578947368421,0.14736842105263157,0.042105263157894736,0.03684210526315789,0.10526315789473684,1.0,297.0
2021-02-20,1.0,1.0,1.0,0.13157894736842105,0.12105263157894737,0.0,0.03684210526315789,0.16842105263157894,0.05789473684210526,0.031578947368421054,0.17894736842105263,0.7473684210526316,265.0
2021-02-21,1.0,0.0,0.0,0.021052631578947368,0.07368421052631578,0.005263157894736842,0.031578947368421054,0.12105263157894737,0.05263157894736842,0.0,0.11052631578947368,0.11578947368421053,94.0
2021-02-22,1.0,0.0,0.0,0.02631578947368421,0.13157894736842105,0.042105263157894736,0.042105263157894736,0.19999999999999998,0.06315789473684211,0.005263157894736842,0.12631578947368421,0.4263157894736842,192.0
2021-02-23,1.0,0.0,0.0,0.010526315789473684,0.015789473684210527,0.005263157894736842,0.08421052631578947,0.12631578947368421,0.031578947368421054,0.0,0.11578947368421053,0.1368421052631579,87.0
2021-02-24,1.0,0.0,0.0,0.021052631578947368,0.10526315789473684,0.010526315789473684,0.04736842105263158,0.20526315789473684,0.042105263157894736,0.021052631578947368,0.18947368421052632,0.24210526315789474,156.0
2021-02-25,1.0,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0,0.05263157894736842,0.005263157894736842,0.0,0.031578947368421054,0.015789473684210527,20.0
2021-02-26,1.0,0.0,0.0,0.015789473684210527,0.11052631578947368,0.010526315789473684,0.03684210526315789,0.12631578947368421,0.005263157894736842,0.005263157894736842,0.06842105263157895,0.5947368421052631,179.0
2021-02-27,1.0,1.0,1.0,0.03684210526315789,0.1368421052631579,0.031578947368421054,0.12105263157894737,0.33157894736842103,0.09999999999999999,0.005263157894736842,0.2894736842105263,0.7052631578947368,305.0
2021-02-28,1.0,0.0,0.0,0.015789473684210527,0.031578947368421054,0.0,0.0,0.11578947368421053,0.031578947368421054,0.0,0.05789473684210526,0.02631578947368421,47.0
2021-03-01,1.0,0.0,0.0,0.010526315789473684,0.08421052631578947,0.005263157894736842,0.04736842105263158,0.12631578947368421,0.03684210526315789,0.005263157894736842,0.09473684210526316,0.05263157894736842,82.0
2021-03-04,1.0,0.0,0.0,0.015789473684210527,0.015789473684210527,0.0,0.02631578947368421,0.09999999999999999,0.010526315789473684,0.0,0.11052631578947368,0.015789473684210527,45.0
2021-03-05,1.0,0.0,0.0,0.021052631578947368,0.06315789473684211,0.005263157894736842,0.02631578947368421,0.11052631578947368,0.015789473684210527,0.0,0.08421052631578947,0.03684210526315789,61.0
2021-03-07,1.0,0.0,0.0,0.031578947368421054,0.06315789473684211,0.03684210526315789,0.042105263157894736,0.13157894736842105,0.03684210526315789,0.0,0.11578947368421053,0.05263157894736842,86.0
2021-03-08,1.0,0.0,0.0,0.021052631578947368,0.05263157894736842,0.005263157894736842,0.021052631578947368,0.14736842105263157,0.0,0.0,0.15263157894736842,0.005263157894736842,63.0
2021-03-09,1.0,0.0,0.0,0.015789473684210527,0.05789473684210526,0.0,0.02631578947368421,0.13157894736842105,0.021052631578947368,0.005263157894736842,0.09473684210526316,0.031578947368421054,60.0
2021-03-10,1.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.1368421052631579,0.005263157894736842,0.0,0.09473684210526316,0.0,39.0
2021-03-12,1.0,0.0,0.0,0.015789473684210527,0.07894736842105263,0.015789473684210527,0.04736842105263158,0.3368421052631579,0.02631578947368421,0.0,0.2736842105263158,0.03684210526315789,128.0
2021-03-14,1.0,0.0,0.0,0.015789473684210527,0.15263157894736842,0.031578947368421054,0.031578947368421054,0.20526315789473684,0.03684210526315789,0.0,0.13157894736842105,0.12105263157894737,125.0
2021-03-16,1.0,0.0,0.0,0.015789473684210527,0.06842105263157895,0.021052631578947368,0.05789473684210526,0.12105263157894737,0.06315789473684211,0.005263157894736842,0.14736842105263157,0.08947368421052632,98.0
2021-03-17,1.0,0.0,0.0,0.0,0.021052631578947368,0.0,0.005263157894736842,0.08421052631578947,0.0,0.0,0.06315789473684211,0.11578947368421053,49.0
2021-03-18,1.0,0.0,0.0,0.010526315789473684,0.1368421052631579,0.015789473684210527,0.12105263157894737,0.1631578947368421,0.021052631578947368,0.005263157894736842,0.19999999999999998,0.3157894736842105,167.0
2021-03-21,1.0,0.0,0.0,0.015789473684210527,0.03684210526315789,0.010526315789473684,0.010526315789473684,0.16842105263157894,0.010526315789473684,0.0,0.11052631578947368,0.07368421052631578,77.0
2021-03-23,1.0,0.0,0.0,0.015789473684210527,0.08421052631578947,0.010526315789473684,0.021052631578947368,0.1631578947368421,0.02631578947368421,0.0,0.10526315789473684,0.15263157894736842,104.0
2021-03-24,1.0,0.0,0.0,0.021052631578947368,0.05263157894736842,0.0,0.04736842105263158,0.19999999999999998,0.042105263157894736,0.042105263157894736,0.14736842105263157,0.13157894736842105,119.0
2021-03-25,1.0,0.0,0.0,0.06315789473684211,0.11052631578947368,0.0,0.02631578947368421,0.08947368421052632,0.031578947368421054,0.005263157894736842,0.05789473684210526,0.20526315789473684,110.0
2021-03-26,1.0,0.0,0.0,0.07894736842105263,0.02631578947368421,0.010526315789473684,0.031578947368421054,0.15263157894736842,0.03684210526315789,0.015789473684210527,0.12631578947368421,0.38421052631578945,153.0
2021-03-29,1.0,0.0,0.0,0.010526315789473684,0.042105263157894736,0.005263157894736842,0.042105263157894736,0.09999999999999999,0.0,0.0,0.07368421052631578,0.2263157894736842,90.0
2021-03-30,1.0,0.0,0.0,0.015789473684210527,0.08421052631578947,0.0,0.06315789473684211,0.12631578947368421,0.005263157894736842,0.005263157894736842,0.09999999999999999,0.1631578947368421,94.0
2021-03-31,1.0,0.0,0.0,0.015789473684210527,0.12631578947368421,0.010526315789473684,0.06842105263157895,0.23157894736842105,0.010526315789473684,0.010526315789473684,0.18947368421052632,0.3736842105263158,186.0
2021-04-03,1.0,1.0,1.0,0.03684210526315789,0.08421052631578947,0.010526315789473684,0.03684210526315789,0.18421052631578946,0.005263157894736842,0.1631578947368421,0.14736842105263157,0.1631578947368421,147.0
2021-04-08,1.0,0.0,0.0,0.0,0.12631578947368421,0.010526315789473684,0.010526315789473684,0.3157894736842105,0.05263157894736842,0.0,0.1368421052631579,0.3368421052631579,181.0
2021-04-11,1.0,0.0,0.0,0.03684210526315789,0.042105263157894736,0.0,0.03684210526315789,0.1368421052631579,0.010526315789473684,0.015789473684210527,0.12105263157894737,0.08421052631578947,85.0
2021-04-12,1.0,0.0,0.0,0.021052631578947368,0.05789473684210526,0.0,0.05263157894736842,0.21052631578947367,0.02631578947368421,0.0,0.15263157894736842,0.14210526315789473,113.0
2021-04-13,1.0,0.0,0.0,0.015789473684210527,0.09473684210526316,0.0,0.17894736842105263,0.3368421052631579,0.005263157894736842,0.005263157894736842,0.21578947368421053,0.15789473684210525,175.0
2021-04-14,1.0,0.0,0.0,0.005263157894736842,0.021052631578947368,0.0,0.0,0.03684210526315789,0.0,0.0,0.042105263157894736,0.13157894736842105,42.0
2021-04-15,1.0,0.0,0.0,0.015789473684210527,0.03684210526315789,0.010526315789473684,0.021052631578947368,0.07894736842105263,0.0,0.010526315789473684,0.05789473684210526,0.1631578947368421,72.0
2021-04-16,1.0,0.0,0.0,0.021052631578947368,0.07894736842105263,0.010526315789473684,0.06842105263157895,0.15789473684210525,0.0,0.005263157894736842,0.1631578947368421,0.19999999999999998,119.0
2021-04-17,1.0,1.0,1.0,0.042105263157894736,0.05263157894736842,0.005263157894736842,0.13157894736842105,0.2894736842105263,0.005263157894736842,0.0,0.25789473684210523,0.1368421052631579,159.0
2021-04-18,1.0,0.0,0.0,0.031578947368421054,0.18421052631578946,0.010526315789473684,0.031578947368421054,0.2736842105263158,0.05789473684210526,0.005263157894736842,0.15789473684210525,0.32105263157894737,190.0
2021-04-19,1.0,0.0,0.0,0.0,0.05789473684210526,0.0,0.0,0.05789473684210526,0.0,0.0,0.03684210526315789,0.07894736842105263,41.0
2021-04-20,1.0,0.0,0.0,0.021052631578947368,0.07894736842105263,0.005263157894736842,0.021052631578947368,0.19999999999999998,0.005263157894736842,0.0,0.11578947368421053,0.23157894736842105,120.0
2021-04-22,1.0,0.0,0.0,0.015789473684210527,0.07894736842105263,0.02631578947368421,0.005263157894736842,0.12631578947368421,0.015789473684210527,0.005263157894736842,0.06842105263157895,0.15263157894736842,90.0
2021-04-24,1.0,1.0,1.0,0.042105263157894736,0.06315789473684211,0.015789473684210527,0.08947368421052632,0.15263157894736842,0.021052631578947368,0.06315789473684211,0.11052631578947368,0.22105263157894736,140.0
2021-04-25,1.0,0.0,0.0,0.015789473684210527,0.15789473684210525,0.0,0.042105263157894736,0.22105263157894736,0.042105263157894736,0.12631578947368421,0.2263157894736842,0.37894736842105264,217.0
2021-04-26,1.0,0.0,0.0,0.005263157894736842,0.005263157894736842,0.021052631578947368,0.005263157894736842,0.07894736842105263,0.0,0.0,0.031578947368421054,0.042105263157894736,34.0
2021-04-27,1.0,0.0,1.0,0.021052631578947368,0.08947368421052632,0.010526315789473684,0.021052631578947368,0.17368421052631577,0.005263157894736842,0.0,0.17894736842105263,0.15263157894736842,112.0
2021-04-28,1.0,0.0,0.0,0.015789473684210527,0.010526315789473684,0.005263157894736842,0.03684210526315789,0.1368421052631579,0.010526315789473684,0.0,0.11578947368421053,0.07894736842105263,67.0
2021-05-01,1.0,1.0,1.0,0.031578947368421054,0.03684210526315789,0.010526315789473684,0.05263157894736842,0.13157894736842105,0.042105263157894736,0.0,0.12631578947368421,0.14736842105263157,99.0
2021-05-02,1.0,0.0,0.0,0.06315789473684211,0.11578947368421053,0.021052631578947368,0.08421052631578947,0.2631578947368421,0.10526315789473684,0.0,0.28421052631578947,0.35789473684210527,231.0
2021-05-03,1.0,0.0,0.0,0.005263157894736842,0.05263157894736842,0.0,0.005263157894736842,0.09999999999999999,0.005263157894736842,0.0,0.07894736842105263,0.02631578947368421,42.0
2021-05-05,1.0,0.0,1.0,0.005263157894736842,0.015789473684210527,0.0,0.0,0.042105263157894736,0.015789473684210527,0.0,0.015789473684210527,0.02631578947368421,22.0
2021-05-06,1.0,0.0,0.0,0.021052631578947368,0.03684210526315789,0.005263157894736842,0.010526315789473684,0.13157894736842105,0.02631578947368421,0.10526315789473684,0.09999999999999999,0.11052631578947368,99.0
2021-05-07,1.0,0.0,0.0,0.005263157894736842,0.03684210526315789,0.005263157894736842,0.0,0.06842105263157895,0.0,0.0,0.031578947368421054,0.06842105263157895,39.0
2021-05-08,1.0,1.0,1.0,0.015789473684210527,0.04736842105263158,0.0,0.02631578947368421,0.10526315789473684,0.010526315789473684,0.0,0.07894736842105263,0.10526315789473684,67.0
2021-05-09,1.0,0.0,0.0,0.021052631578947368,0.09473684210526316,0.0,0.08421052631578947,0.20526315789473684,0.06315789473684211,0.005263157894736842,0.14210526315789473,0.28421052631578947,160.0
2021-05-10,1.0,0.0,0.0,0.042105263157894736,0.18421052631578946,0.0,0.05789473684210526,0.2736842105263158,0.08947368421052632,0.005263157894736842,0.24736842105263157,0.23684210526315788,198.0
2021-05-12,1.0,0.0,0.0,0.005263157894736842,0.015789473684210527,0.010526315789473684,0.010526315789473684,0.07894736842105263,0.010526315789473684,0.010526315789473684,0.07368421052631578,0.021052631578947368,43.0
2021-05-13,1.0,0.0,1.0,0.010526315789473684,0.021052631578947368,0.005263157894736842,0.031578947368421054,0.031578947368421054,0.010526315789473684,0.0,0.04736842105263158,0.02631578947368421,32.0
2021-05-14,1.0,0.0,0.0,0.0,0.015789473684210527,0.005263157894736842,0.021052631578947368,0.05789473684210526,0.042105263157894736,0.0,0.04736842105263158,0.05263157894736842,43.0
2021-05-15,1.0,1.0,1.0,0.03684210526315789,0.14210526315789473,0.005263157894736842,0.09999999999999999,0.24210526315789474,0.05263157894736842,0.005263157894736842,0.19473684210526315,0.16842105263157894,165.0
2021-05-16,1.0,0.0,0.0,0.031578947368421054,0.03684210526315789,0.0,0.0,0.02631578947368421,0.015789473684210527,0.0,0.05263157894736842,0.10526315789473684,48.0
2021-05-18,1.0,0.0,0.0,0.02631578947368421,0.06842105263157895,0.02631578947368421,0.021052631578947368,0.24210526315789474,0.031578947368421054,0.005263157894736842,0.13157894736842105,0.17894736842105263,126.0
2021-05-20,1.0,0.0,0.0,0.0,0.05789473684210526,0.010526315789473684,0.021052631578947368,0.12631578947368421,0.021052631578947368,0.0,0.07894736842105263,0.07368421052631578,69.0
2021-05-30,1.0,0.0,0.0,0.04736842105263158,0.09473684210526316,0.005263157894736842,0.021052631578947368,0.24210526315789474,0.02631578947368421,0.010526315789473684,0.17894736842105263,0.3894736842105263,159.0
2021-05-31,1.0,0.0,0.0,0.05789473684210526,0.19999999999999998,0.031578947368421054,0.09473684210526316,0.43157894736842106,0.042105263157894736,0.10526315789473684,0.2894736842105263,0.7789473684210526,350.0
2021-06-01,1.0,0.0,0.0,0.04736842105263158,0.06842105263157895,0.010526315789473684,0.05789473684210526,0.19999999999999998,0.042105263157894736,0.021052631578947368,0.14736842105263157,0.3157894736842105,151.0
2021-06-02,1.0,0.0,0.0,0.042105263157894736,0.17894736842105263,0.06315789473684211,0.03684210526315789,0.3,0.07894736842105263,0.005263157894736842,0.19473684210526315,0.5684210526315789,255.0
2021-06-03,1.0,0.0,0.0,0.04736842105263158,0.08947368421052632,0.04736842105263158,0.042105263157894736,0.25789473684210523,0.031578947368421054,0.0,0.25263157894736843,0.22105263157894736,172.0
2021-06-04,1.0,0.0,0.0,0.021052631578947368,0.07894736842105263,0.005263157894736842,0.005263157894736842,0.16842105263157894,0.015789473684210527,0.010526315789473684,0.10526315789473684,0.2736842105263158,124.0
2021-06-05,1.0,1.0,1.0,0.042105263157894736,0.10526315789473684,0.0,0.11052631578947368,0.21052631578947367,0.06315789473684211,0.0,0.17368421052631577,0.2263157894736842,165.0
2021-06-06,1.0,0.0,0.0,0.015789473684210527,0.10526315789473684,0.06842105263157895,0.021052631578947368,0.21578947368421053,0.042105263157894736,0.05263157894736842,0.14210526315789473,0.17368421052631577,147.0
2021-06-07,1.0,0.0,0.0,0.06842105263157895,0.2263157894736842,0.010526315789473684,0.07894736842105263,0.4105263157894737,0.13157894736842105,0.005263157894736842,0.26842105263157895,0.42105263157894735,295.0
2021-06-08,1.0,0.0,0.0,0.015789473684210527,0.16842105263157894,0.021052631578947368,0.02631578947368421,0.3263157894736842,0.08947368421052632,0.005263157894736842,0.23157894736842105,0.763157894736842,290.0
2021-06-09,1.0,0.0,0.0,0.015789473684210527,0.14210526315789473,0.010526315789473684,0.021052631578947368,0.1631578947368421,0.05263157894736842,0.010526315789473684,0.1368421052631579,0.18421052631578946,127.0
2021-06-10,1.0,0.0,0.0,0.02631578947368421,0.11052631578947368,0.0,0.042105263157894736,0.2631578947368421,0.05789473684210526,0.005263157894736842,0.17368421052631577,0.26842105263157895,166.0
2021-06-11,1.0,0.0,0.0,0.031578947368421054,0.03684210526315789,0.0,0.021052631578947368,0.20526315789473684,0.03684210526315789,0.0,0.14736842105263157,0.12105263157894737,103.0
2021-06-12,1.0,1.0,1.0,0.12631578947368421,0.08421052631578947,0.021052631578947368,0.02631578947368421,0.2736842105263158,0.04736842105263158,0.0,0.24210526315789474,0.531578947368421,215.0
2021-06-13,1.0,0.0,0.0,0.03684210526315789,0.13157894736842105,0.005263157894736842,0.05789473684210526,0.3526315789473684,0.07894736842105263,0.005263157894736842,0.23684210526315788,0.39473684210526316,225.0
2021-06-14,1.0,0.0,0.0,0.04736842105263158,0.05263157894736842,0.021052631578947368,0.02631578947368421,0.26842105263157895,0.07894736842105263,0.0,0.1631578947368421,0.2736842105263158,164.0
2021-06-15,1.0,0.0,0.0,0.031578947368421054,0.15263157894736842,0.021052631578947368,0.06842105263157895,0.3736842105263158,0.042105263157894736,0.010526315789473684,0.21578947368421053,0.16842105263157894,194.0
2021-06-16,1.0,0.0,0.0,0.005263157894736842,0.031578947368421054,0.0,0.03684210526315789,0.07368421052631578,0.015789473684210527,0.021052631578947368,0.03684210526315789,0.08947368421052632,56.0
2021-06-17,1.0,0.0,0.0,0.015789473684210527,0.031578947368421054,0.0,0.005263157894736842,0.07894736842105263,0.010526315789473684,0.0,0.031578947368421054,0.06315789473684211,40.0
2021-06-19,1.0,1.0,1.0,0.031578947368421054,0.05789473684210526,0.02631578947368421,0.06842105263157895,0.22105263157894736,0.031578947368421054,0.005263157894736842,0.16842105263157894,0.2789473684210526,156.0
2021-06-20,1.0,0.0,0.0,0.04736842105263158,0.05789473684210526,0.005263157894736842,0.005263157894736842,0.15263157894736842,0.03684210526315789,0.0,0.12105263157894737,0.24210526315789474,122.0
2021-06-22,1.0,0.0,0.0,0.0,0.021052631578947368,0.005263157894736842,0.0,0.031578947368421054,0.010526315789473684,0.0,0.010526315789473684,0.07894736842105263,28.0
2021-06-23,1.0,0.0,0.0,0.02631578947368421,0.021052631578947368,0.015789473684210527,0.05789473684210526,0.11052631578947368,0.02631578947368421,0.005263157894736842,0.09999999999999999,0.20526315789473684,98.0
2021-06-24,1.0,0.0,0.0,0.05263157894736842,0.13157894736842105,0.021052631578947368,0.06842105263157895,0.42105263157894735,0.06315789473684211,0.015789473684210527,0.28421052631578947,0.46842105263157896,262.0
2021-06-25,1.0,0.0,0.0,0.021052631578947368,0.031578947368421054,0.021052631578947368,0.010526315789473684,0.17368421052631577,0.03684210526315789,0.0,0.08947368421052632,0.11578947368421053,91.0
2021-06-26,1.0,1.0,1.0,0.02631578947368421,0.12631578947368421,0.021052631578947368,0.05263157894736842,0.16842105263157894,0.031578947368421054,0.0,0.14210526315789473,0.34210526315789475,160.0
2021-06-27,1.0,0.0,0.0,0.031578947368421054,0.02631578947368421,0.031578947368421054,0.042105263157894736,0.30526315789473685,0.042105263157894736,0.0,0.25789473684210523,0.09473684210526316,134.0
2021-06-28,1.0,0.0,0.0,0.015789473684210527,0.05789473684210526,0.0,0.010526315789473684,0.19473684210526315,0.06842105263157895,0.010526315789473684,0.09473684210526316,0.14210526315789473,104.0
2021-06-30,1.0,0.0,0.0,0.015789473684210527,0.04736842105263158,0.0,0.04736842105263158,0.09473684210526316,0.03684210526315789,0.021052631578947368,0.06842105263157895,0.26842105263157895,101.0
2021-07-01,1.0,0.0,0.0,0.005263157894736842,0.07368421052631578,0.015789473684210527,0.0,0.12631578947368421,0.005263157894736842,0.005263157894736842,0.08421052631578947,0.2631578947368421,94.0
2021-07-02,1.0,0.0,0.0,0.02631578947368421,0.021052631578947368,0.015789473684210527,0.0,0.10526315789473684,0.0,0.0,0.04736842105263158,0.12105263157894737,55.0
2021-07-03,1.0,1.0,1.0,0.06842105263157895,0.06315789473684211,0.015789473684210527,0.08947368421052632,0.4105263157894737,0.015789473684210527,0.0,0.23157894736842105,0.3,183.0
2021-07-04,1.0,0.0,0.0,0.010526315789473684,0.031578947368421054,0.0,0.04736842105263158,0.14736842105263157,0.005263157894736842,0.0,0.12105263157894737,0.06842105263157895,59.0
2021-07-05,1.0,0.0,0.0,0.005263157894736842,0.021052631578947368,0.0,0.005263157894736842,0.021052631578947368,0.005263157894736842,0.0,0.010526315789473684,0.031578947368421054,17.0
2021-07-07,1.0,0.0,0.0,0.03684210526315789,0.042105263157894736,0.0,0.03684210526315789,0.1631578947368421,0.005263157894736842,0.0,0.1631578947368421,0.15263157894736842,83.0
2021-07-08,1.0,0.0,0.0,0.021052631578947368,0.06842105263157895,0.005263157894736842,0.12105263157894737,0.17894736842105263,0.021052631578947368,0.010526315789473684,0.21578947368421053,0.24210526315789474,127.0
2021-07-09,1.0,0.0,0.0,0.06315789473684211,0.07894736842105263,0.0,0.05263157894736842,0.2789473684210526,0.015789473684210527,0.005263157894736842,0.18421052631578946,0.21578947368421053,135.0
2021-07-12,1.0,0.0,0.0,0.02631578947368421,0.15789473684210525,0.010526315789473684,0.021052631578947368,0.25263157894736843,0.010526315789473684,0.0,0.15263157894736842,0.3263157894736842,153.0
2021-07-14,1.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.010526315789473684,0.010526315789473684,0.11578947368421053,0.010526315789473684,0.0,0.07894736842105263,0.09473684210526316,56.0
2021-07-15,1.0,0.0,0.0,0.005263157894736842,0.0,0.005263157894736842,0.005263157894736842,0.07894736842105263,0.0,0.0,0.04736842105263158,0.06315789473684211,30.0
2021-07-16,1.0,0.0,0.0,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.0,0.042105263157894736,0.0,0.0,0.02631578947368421,0.15263157894736842,45.0
2021-07-17,1.0,1.0,1.0,0.042105263157894736,0.042105263157894736,0.05263157894736842,0.031578947368421054,0.3157894736842105,0.005263157894736842,0.0,0.12105263157894737,0.15263157894736842,122.0
